,UNITID,TYPE,1516_ASSETS,1516_EXPENSES,1516_REVENUE,1516_RESEARCH,1415_ASSETS,1415_EXPENSES,1415_REVENUE,1415_RESEARCH,1314_ASSETS,1314_EXPENSES,1314_REVENUE,1314_RESEARCH,1213_ASSETS,1213_EXPENSES,1213_REVENUE,1213_RESEARCH,1112_ASSETS,1112_EXPENSES,1112_REVENUE,1112_RESEARCH,1011_ASSETS,1011_EXPENSES,1011_REVENUE,1011_RESEARCH,0910_ASSETS,0910_EXPENSES,0910_REVENUE,0910_RESEARCH,0809_ASSETS,0809_EXPENSES,0809_REVENUE,0809_RESEARCH,0708_ASSETS,0708_EXPENSES,0708_REVENUE,0708_RESEARCH,0607_ASSETS,0607_EXPENSES,0607_REVENUE,0607_RESEARCH,0506_ASSETS,0506_EXPENSES,0506_REVENUE,0506_RESEARCH,0405_ASSETS,0405_EXPENSES,0405_REVENUE,0405_RESEARCH,0304_ASSETS,0304_EXPENSES,0304_REVENUE,0304_RESEARCH,0203_ASSETS,0203_EXPENSES,0203_REVENUE,0203_RESEARCH,0102_ASSETS,0102_EXPENSES,0102_REVENUE,0102_RESEARCH
848,194657,not-for-profit,1062693.0,3665914.0,3840184.0,0,888424.0,3154377.0,3260020.0,0,782780.0,2896483.0,2952508.0,0,726755.0,3063904.0,3139393.0,0,651266.0,2914482.0,2994552.0,0,571196.0,2832362.0,2846724.0,0,556834.0,2794936.0,2833091.0,0,518679.0,3087310,3120612,0,485377.0,2441714,2467494,0,459597.0,2293632,2305596,0,447633.0,2302714,2325547,0,424800.0,2362500,2368998,0,401685.0,2307440,2311543,0,397582,2354823,2368642,0,391284.0,2150962.0,2182193.0,0.0
849,194666,not-for-profit,1496075.0,3162175.0,3293696.0,68826,1364554.0,3088665.0,3049036.0,65180,1404183.0,2920562.0,2985500.0,42629,1267148.0,2781673.0,2892109.0,39600,1180643.0,2619146.0,2606108.0,0,1208718.0,2591296.0,2732950.0,82235,1087130.0,2501777.0,2613541.0,46430,975366.0,2184163,2077400,79150,1078430.0,1750039,1817005,42867,1167278.0,1762166,1797075,54693,1132369.0,1903981,1533155,40301,1505202.0,1781205,1884549,14635,1640110.0,1962304,1909475,4157,1579738,1768231,1701640,17002,1578926.0,1647399.0,1715714.0,0.0
850,194693,not-for-profit,1431966.0,2142602.0,2104087.0,0,1470481.0,2003375.0,2124510.0,0,1349346.0,1936663.0,1834670.0,0,1451339.0,1895398.0,2216144.0,0,1130593.0,1849856.0,1929433.0,0,1050996.0,1727082.0,1778122.0,0,999956.0,1834490.0,2020798.0,0,1117347.0,1789955,1816874,0,622154.0,772540,781767,17701,617927.0,690199,692783,0,615970.0,708410,711716,8678,612037.0,535320,536568,7782,610789.0,479482,481914,11370,608357,546523,493822,8301,661058.0,463906.0,432567.0,2442.0
851,194736,not-for-profit,2309030.0,5307439.0,5395767.0,0,2320702.0,5093251.0,5155796.0,0,2258157.0,4878788.0,5129854.0,0,2007091.0,5128762.0,5228247.0,0,1907606.0,4302567.0,4315639.0,0,8824594.0,3928268.0,3921284.0,0,8831578.0,3658014.0,3578051.0,0,8911541.0,3724391,3704210,0,8931722.0,3964561,3719137,0,9177146.0,3903825,3832032,0,9248939.0,3819918,3662843,0,9543814.0,3668031,3760430,0,9129613.0,3661131,3760538,0,9030206,3290976,3408394,0,8912788.0,2937699.0,3120342.0,0.0
852,194763,not-for-profit,15861086.0,5918701.0,9397672.0,0,12382115.0,5832463.0,7215668.0,0,10998910.0,6372514.0,6157139.0,0,11214285.0,6061334.0,5504244.0,0,11771375.0,6112914.0,6074237.0,0,11810052.0,5317878.0,4938109.0,0,12413153.0,4916148.0,3943605.0,0,13385702.0,4875957,4675691,0,13585968.0,4716683,4077369,0,14639066.0,3425173,3304612,0,14759627.0,3698948,3249198,0,15209377.0,4088818,3020581,0,15071299.0,3541931,3556516,0,15056714,3046860,3432961,0,14677915.0,2775941.0,3371851.0,0.0
853,194824,not-for-profit,363781000.0,406163000.0,374711000.0,109462000,432580000.0,409447000.0,433881000.0,111884000,459735000.0,413942000.0,464579000.0,118491000,414802000.0,419146000.0,434963000.0,115023000,362941000.0,412823000.0,340408000.0,117225000,498594000.0,406112000.0,384440000.0,111457000,502523000.0,384823000.0,349966000.0,105170000,519587000.0,382445000,313244000,95663000,821731000.0,374068000,311805000,92525000,919713000.0,346933000,469513000,85123000,779350000.0,335036000,342888000,81557000,753777000.0,309978000,373851000,75159000,723718000.0,296327000,376050000,67477000,619973000,279611000,272148000,51276000,720595000.0,248933000.0,179870000.0,46836000.0
854,194958,not-for-profit,87968892.0,37360671.0,34612339.0,0,91817553.0,35948343.0,34552015.0,0,89265647.0,35344555.0,33958963.0,0,86596114.0,35022798.0,33959772.0,0,84538014.0,35602127.0,36678006.0,0,78747959.0,34442076.0,36665230.0,0,72717155.0,34416412.0,37145631.0,0,69946240.0,33855723,35427091,0,72707361.0,34555243,34371729,0,73395581.0,32266708,32573284,0,69098448.0,30389667,33295079,0,65473600.0,27904601,30866638,0,56457917.0,26942973,27699372,0,53317589,25280056,25618416,0,51805632.0,23721577.0,24990821.0,0.0
855,195003,not-for-profit,1154449000.0,546393000.0,538317000.0,37939000,1162525000.0,512406000.0,530896000.0,31241000,1144035000.0,514877000.0,601150000.0,30815000,1057762000.0,503795000.0,556226000.0,31091000,1005331000.0,487320000.0,504145000.0,30874000,988507000.0,467017000.0,575406000.0,31395000,880117000.0,467520000.0,492777000.0,33389000,854860000.0,428380000,295677000,27847000,987563000.0,393290000,430090000,24962000,950763000.0,388459000,498419000,23641000,847052000.0,384507000,436660000,26629000,801958000.0,356592000,386697000,27892000,771853000.0,363329000,395632000,27458000,739550000,340208000,349058000,25707000,730700000.0,321408000.0,450786000.0,22640000.0
856,195030,not-for-profit,3180356000.0,3650678000.0,3487753000.0,294145000,3401656000.0,3328762000.0,3416520000.0,299826000,3355979000.0,3081122000.0,3467350000.0,284560000,2973161000.0,2933806000.0,3160756000.0,302371000,2649667000.0,2731929000.0,2755034000.0,315548000,2683860000.0,2651237000.0,2945974000.0,334396000,2381767000.0,2518123000.0,2694879000.0,304557000,2211238000.0,2448374000,2004870000,297448000,2699549000.0,2338735000,2312372000,291640000,2733889000.0,2177080000,2535271000,264597000,2413618000.0,2041783000,2271258000,238165000,2195887000.0,1878694000,2044833000,240575000,2031017000.0,1774620000,1915186000,211734000,1889116000,1632857000,1638061000,189311000,1900461000.0,1528304000.0,1450633000.0,172407000.0
857,195155,not-for-profit,7229577.0,1051700.0,802554.0,0,7478723.0,1144621.0,1071885.0,0,7551457.0,1232243.0,1736739.0,0,7046961.0,1273644.0,2169234.0,0,6151371.0,1218930.0,1400643.0,0,5969658.0,1249397.0,1689217.0,0,5529838.0,1259394.0,1553670.0,0,5235562.0,1226532,387767,0,6074327.0,1212216,1047820,0,6238723.0,1268579,1569244,0,5938058.0,1235669,1484712,0,5689015.0,1345033,1577879,0,5456169.0,1338131,1788191,0,5006109,1152131,2974493,0,3183747.0,1037162.0,1469527.0,0.0
