UNITID,LAT,LNG
141167,30.8158653,-83.9656962
141185,34.5943591,-83.3562681
141237,34.5943163,-83.7489526
141255,30.8892928,-83.3548926
141264,30.8465653,-83.29002340000001
141325,32.8745489,-83.7123998
141334,33.5735847,-85.09771599999999
141361,34.93306,-83.84656500000001
141486,21.2893825,-157.8061675
141565,19.701598,-155.081293
141574,21.2979324,-157.8208122
141644,21.3104109,-157.8596332
141680,21.3204564,-157.8692274
141796,21.2714311,-157.8012813
141802,21.9649666,-159.421386
141811,21.392589,-157.9838322
141839,20.8901594,-156.4806044
141990,21.4081617,-157.8123418
142090,43.657882,-116.29056
142115,43.6049685,-116.2067524
142179,43.486112,-111.9871411
142276,42.8619559,-112.4329533
142285,46.7288124,-117.0126084
142294,43.653597,-116.6768761
142328,46.4121153,-117.0263232
142407,42.5936244,-114.4617111
142522,43.8208449,-111.7823667
143048,41.8809789,-87.6266205
143084,41.5051381,-90.5472032
143118,41.7549208,-88.3476948
143288,39.2886353,-89.87298990000001
144005,41.719584,-87.61087909999999
144050,41.7895762,-87.60093239999999
144157,41.7782973,-87.64390039999999
144166,41.87780739999999,-87.67452519999999
144175,41.7105365,-87.59211599999999
144184,41.9647341,-87.6589607
144193,41.7565084,-87.7239077
144209,41.8860232,-87.62685189999999
144218,41.9588117,-87.78832849999999
144281,41.8741947,-87.6247696
144467,41.8980092,-87.638611
144740,41.8777442,-87.6272303
144892,39.4836164,-88.1751377
144962,41.896216,-87.9461793
144971,40.71398,-89.267575
145372,38.8941304,-89.4091274
145460,41.8741947,-87.6247696
145600,41.8737629,-87.6509962
145619,41.77886280000001,-88.09489789999999
145637,40.1088318,-88.23003729999999
145646,40.4911735,-88.9910657
145691,39.7312595,-90.24609009999999
145725,41.8313959,-87.6272312
145813,40.5093912,-88.98950020000001
146296,41.5007756,-88.1799424
146427,40.9434729,-90.3701785
146481,42.250595,-87.8277062
146676,40.1575092,-89.3606727
146719,41.99864789999999,-87.6578433
146825,39.7320718,-90.2225976
147013,38.6113247,-89.81407
147244,39.8433566,-88.975267
147341,40.9137541,-90.6388503
147378,41.6922508,-87.83893560000001
147439,39.8460768,-88.9335669
147660,41.7757531,-88.1428133
147703,41.9339755,-88.77985369999999
147749,41.9686374,-87.75978060000001
147767,42.0506258,-87.679727
147767,42.0506258,-87.679727
147776,41.9814145,-87.718724
147800,42.0633881,-87.88022260000001
147828,41.1551311,-87.874156
148131,39.9405592,-91.3855138
148335,41.8763772,-87.6271989
148399,42.2557123,-89.0275479
148487,41.87599580000001,-87.62485509999999
148496,41.902411,-87.822057
148627,41.7069171,-87.7161339
148821,37.2719682,-89.0353966
148876,41.97235939999999,-87.6627919
149222,37.7135609,-89.21767009999999
149231,38.8117442,-89.953223
149310,41.8796231,-87.6361052
149532,41.9150378,-87.83885889999999
149639,41.8367645,-87.6291973
149772,40.462711,-90.6817531
149781,41.868737,-88.09960579999999
149842,42.08033330000001,-88.07060829999999
150048,41.3377279,-86.4451627
150066,40.1114679,-85.6650798
150145,41.6775384,-86.1887477
150163,39.8400607,-86.17203660000001
150400,39.6408691,-86.86032689999999
150455,39.8239393,-84.9130069
150534,37.9702202,-87.5341366
150604,39.4787892,-86.0459398
150668,41.562224,-85.82802579999999
150677,41.225148,-85.812665
150756,38.7189081,-85.46231519999999
150774,41.7005771,-86.25121419999999
150987,39.8039066,-86.1580864
151102,41.1208835,-85.10504569999999
151111,39.7737388,-86.1752156
151166,39.7672417,-86.14759149999999
151263,39.709623,-86.1364602
151306,37.9614351,-87.6761982
151324,39.4683597,-87.40740319999999
151333,40.4594254,-86.1316461
151342,41.6651913,-86.21886719999999
151351,39.16609,-86.5265478
151360,41.5572569,-87.3376207
151379,38.3434858,-85.81707399999999
151388,39.866598,-84.8883743
151467,39.8854995,-86.04166099999999
151661,39.8865861,-86.24637659999999
151786,39.8168746,-86.20158420000001
151810,39.7984208,-86.1023903
151962,38.3121134,-85.7446281
152080,41.7030267,-86.2390726
152099,38.3395434,-87.352751
152248,41.5877606,-87.4750581
152266,41.5865962,-86.89689800000001
152318,39.48338529999999,-87.3248675
